hc-key,al,at,be,bg,cy,cz,de,dk,ee,fi,fr,gr,hr,hu,is,ie,it,lt,lu,lv,me,mk,mt,nl,pl,pt,ro,rs,si,sk,es,se,tr,gb
1/11/2004,,16.2611281,15.9423306,14.01648008,11.798206,19.56911628,29.51456311,10.47427043,10.316422,17.5421791,23.15811471,16.246254,30.969588,16.51313274,,12.569091,16.57993529,9.021958084,12.42789243,15.92179104,,,10.360312,18.39112289,19.14394,14.04311,7.019051383,,16.760554,17.78825879,16.43584555,23.534319,8.069178189,25.02031328
1/5/2005,,26.6885,24.70072,20.74931729,14.85350495,32.32059095,38.09240783,13.00683159,20.89605894,20.49663086,36.63030534,26.370154,47.083462,23.49835533,,22.73194831,26.47687849,20.87471286,15.01182738,22.41898522,,,18.611512,25.99881412,28.16337,24.28274627,14.95656375,,27.57936746,26.01606498,31.07985352,32.82830078,10.84776219,34.81881544
1/11/2005,,30.99823529,27.81666016,17.68604695,14.93207769,31.39638243,39.03867679,13.58569767,16.873753,23.71638132,37.77769871,23.635213,42.853607,20.7155775,,19.23739088,25.807477,22.04620098,13.70608235,32.63615682,,,17.554388,25.324122,24.317309,22.36376869,16.361866,,29.24093424,27.86058394,26.65870936,32.03480252,11.43806965,34.4514022
1/5/2006,,20.75722714,25.92631373,19.47340197,12.41809467,24.97509363,36.47650531,10.25339286,18.86298703,21.52657058,38.11495392,25.438232,42.52637,12.61620784,,20.25594217,21.039663,20.70192444,14.66623062,30.53124754,,,23.913426,21.33358176,22.143627,23.3741018,15.94641588,,26.29021684,24.85194805,25.71912438,26.37197345,15.608599,35.9119984
1/10/2006,,26.14906496,22.23067797,19.66980676,16.28856859,24.91734189,39.36034039,14.27006979,13.91852,23.14428,36.02469712,22.65844,46.08589,21.67351244,,20.68747,30.52292247,18.26051,17.1732,25.71436453,,,16.68834,20.52821218,20.72342,23.99497487,15.89712512,,19.35894277,18.372913,25.57423729,19.92159921,19.29802985,38.68780872
1/5/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2007,,24.74105419,20.58777886,17.17495394,19.48584,29.93347197,35.38767396,12.80115115,11.4031917,21.86549855,23.89987452,24.5681,48.7069,26.07484,,18.45048659,27.77755981,17.05702756,16.43928287,27.03055666,,17.0911001,18.806,21.07060697,15.89385,25.26197,17.99641,,23.625778,21.39893428,19.81849,22.54153539,18.78984064,36.99035843
1/5/2008,,28.98925,23.32254237,16.48388,11.81035714,27.19149901,35.86861884,12.10577114,12.76409543,20.65278884,30.97672115,29.73101,44.85199,29.16258,,15.79505976,30.84194716,19.46481881,22.00175649,32.72333333,,17.07662028,14.42024,17.87338136,19.06067,24.25277722,15.90233562,,22.13635095,15.69186175,14.98902227,22.54499503,27.98464606,45.69791294
1/11/2008,,27.40140578,29.83462076,19.04360835,15.16065606,29.70665692,32.34974954,11.98051506,17.81776,17.41956175,33.02141188,36.20453,51.33922,32.54852295,,29.23376,39.62571159,25.48203759,19.87892,36.1594511,,24.1314668,13.10616,13.18182517,24.58186,28.69977,21.05764482,,27.78581511,16.46005964,25.21414,18.92835329,33.39129611,43.15155497
1/2/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
